Timestamp,Flambeau (MW)
2016-08-18T05:00:00Z,5.49157858
2016-08-22T05:00:00Z,13.0769186
2016-08-26T05:00:00Z,10.0832691
2016-08-30T05:00:00Z,6.796535
2016-09-03T05:00:00Z,7.477041
2016-09-07T05:00:00Z,21.11821
2016-09-11T05:00:00Z,13.5623312
2016-09-15T05:00:00Z,11.0532751
2016-09-19T05:00:00Z,9.41174
2016-09-23T05:00:00Z,21.6473351
2016-09-27T05:00:00Z,12.0275974
2016-10-01T05:00:00Z,11.3640528
2016-10-05T05:00:00Z,9.32916451
2016-10-09T05:00:00Z,13.0625458
2016-10-13T05:00:00Z,10.5899944
2016-10-17T05:00:00Z,9.524632
2016-10-21T05:00:00Z,17.1700268
2016-10-25T05:00:00Z,9.530116
2016-10-29T05:00:00Z,10.0594616
2016-11-02T05:00:00Z,8.433461
2016-11-06T05:00:00Z,7.101607
2016-11-10T06:00:00Z,6.564193
2016-11-14T06:00:00Z,5.66658354
2016-11-18T06:00:00Z,5.35028362
2016-11-22T06:00:00Z,5.871133
2016-11-26T06:00:00Z,6.00172234
2016-11-30T06:00:00Z,12.8713064
2016-12-04T06:00:00Z,9.995832
2016-12-08T06:00:00Z,7.0615654
2016-12-12T06:00:00Z,5.664792
2016-12-16T06:00:00Z,6.08235741
2016-12-20T06:00:00Z,6.839519
2016-12-24T06:00:00Z,7.205924
2016-12-28T06:00:00Z,7.969554
2017-01-01T06:00:00Z,7.430117
2017-01-05T06:00:00Z,7.91982937
2017-01-09T06:00:00Z,6.537992
2017-01-13T06:00:00Z,7.352822
2017-01-17T06:00:00Z,7.725372
2017-01-21T06:00:00Z,7.23149967
2017-01-25T06:00:00Z,9.043043
2017-01-29T06:00:00Z,9.29678
2017-02-02T06:00:00Z,7.99227858
2017-02-06T06:00:00Z,7.35017872
2017-02-10T06:00:00Z,7.04948425
2017-02-14T06:00:00Z,7.31032
2017-02-18T06:00:00Z,7.88205051
2017-02-22T06:00:00Z,21.4376945
2017-02-26T06:00:00Z,21.6052361
2017-03-02T06:00:00Z,15.54951
2017-03-06T06:00:00Z,12.2158537
2017-03-10T06:00:00Z,19.6714363
2017-03-14T05:00:00Z,10.0447989
2017-03-18T05:00:00Z,9.028594
2017-03-22T05:00:00Z,9.535765
2017-03-26T05:00:00Z,10.8371983
2017-03-30T05:00:00Z,12.1402025
2017-04-03T05:00:00Z,9.353953
2017-04-07T05:00:00Z,12.0144491
2017-04-11T05:00:00Z,16.0988789
2017-04-15T05:00:00Z,17.638092
